日线	000581	威孚高科										
时间	开盘价	最高价	最低价	收盘价	成交量	成交额	MA.MA1	MA.MA2	MA.MA3	MA.MA4	MA.MA5	MA.MA6
20091013	13.05000019	13.44999981	13	13.38000011	131457	17424.59961	12.46199989	12.0899992	11.36950111	10.86433315	11.28891563	8.807002068
20091012	12.57999992	13.69999981	12.39999962	13.25	237001	31004.09961	12.23999977	11.8210001	11.19000053	10.75366592	11.26400089	8.779123306
20091009	11.89999962	12.68999958	11.69999981	12.44999981	140355	17220.80078	12.01000023	11.61800003	11.01249981	10.62566662	11.2369175	8.753442764
20090930	11.55000019	12.07999992	11.55000019	11.60999966	83756	9901.900391	11.8579998	11.45900059	10.84900093	10.49566555	11.21400166	8.729522705
20090929	11.68000031	11.93000031	11.27000046	11.61999989	109026	12702.09961	11.81199932	11.40100002	10.71750069	10.42533302	11.20108414	8.706602097
20090925	12	12.5	11.80000019	12.27000046	257866	31633.09961	11.71800041	11.3550005	10.59650135	10.35766697	11.18725109	8.685042381
20090924	11.51000023	12.10000038	11.28999996	12.10000038	302579	35920.69922	11.40200043	11.18099976	10.49400139	10.3039999	11.16900158	8.661161423
20090923	11.5	11.85999966	11.39999962	11.68999958	260726	30476.5	11.22599983	10.99699974	10.41250038	10.28366566	11.15200138	8.637481689
20090922	11.19999981	11.76000023	11.10000038	11.38000011	221597	25637.19922	11.05999947	10.88300037	10.35300064	10.27233315	11.13900185	8.615120888
20090921	10.64999962	11.25	10.57999992	11.14999962	116325	12734.5	10.98999977	10.76099968	10.29899979	10.26266575	11.12983418	8.594841957
20090918	11.19999981	11.28999996	10.60000038	10.68999958	125333	13770.7998	10.99199963	10.64900017	10.25150013	10.25433254	11.11975002	8.575681686
20090917	10.93000031	11.34000015	10.80000019	11.22000027	101927	11412.09961	10.96000004	10.55900002	10.22000027	10.26133251	11.11216736	8.557601929
20090916	10.97000027	10.98999977	10.60000038	10.85999966	78652	8516	10.76799965	10.40699959	10.12949944	10.26933289	11.09500122	8.540162086
20090915	11.18000031	11.19999981	10.85999966	11.02999973	112530	12406.59961	10.70599937	10.23900032	10.01399994	10.29166698	11.0795002	8.524201393
20090914	10.80000019	11.27999973	10.80000019	11.15999985	151556	16860.69922	10.53199959	10.03399944	9.9375	10.29800034	11.0646677	8.507322311
20090911	10.27000046	10.75	10.21000004	10.52999973	98933	10448	10.30599976	9.838000298	9.858999252	10.298666	11.0466671	8.489480972
20090910	10.56999969	10.57999992	10.25	10.26000023	70133	7258.799805	10.15799999	9.807001114	9.865499496	10.31666756	11.02958393	8.474481583
20090909	10.14999962	10.60999966	10.02999973	10.55000019	133836	13929.40039	10.04599953	9.828000069	9.927000046	10.33433342	11.01658344	8.460042
20090908	10	10.30000019	9.829999924	10.15999985	67236	6798.200195	9.772000313	9.822999954	9.967000008	10.34866714	11.00016689	8.443841934
20090907	9.800000191	10.32999992	9.800000191	10.02999973	80258	8055.200195	9.536000252	9.836999893	10.01349926	10.39500141	10.98608398	8.428042412
20090904	9.699999809	10.02000046	9.649999619	9.789999962	62933	6189	9.370000839	9.854000092	10.05699921	10.4493351	10.96983337	8.412482262
20090903	9.180000305	9.800000191	9.180000305	9.699999809	68207	6519.299805	9.456000328	9.881000519	10.11249924	10.50800037	10.95341587	8.398322105
20090902	8.979999542	9.270000458	8.899999619	9.180000305	42465	3868.699951	9.609999657	9.851999283	10.20050049	10.56200027	10.93633461	8.384362221
20090901	9.079999924	9.449999809	8.800000191	8.979999542	79298	7190.100098	9.874000549	9.788999557	10.31799984	10.63600063	10.92375088	8.373282433
20090831	10.14999962	10.14999962	9.199999809	9.199999809	82984	7928.299805	10.13800049	9.841000557	10.43000031	10.70933437	10.91200161	8.364602089
20090828	10.35999966	10.67000008	9.909999847	10.22000027	85733	8745.299805	10.3380003	9.880000114	10.52900028	10.80266666	10.89700127	8.352683067
20090827	10.5	10.82999992	10.34000015	10.47000027	78817	8333.400391	10.30600071	9.92400074	10.57150078	10.85666561	10.87516785	8.33628273
20090826	10.18999958	10.71000004	10.05000019	10.5	103755	10887.59961	10.09399986	10.02599907	10.58749962	10.91133308	10.85258484	8.321242332
20090825	10.18000031	10.35000038	9.819999695	10.30000019	109344	11024.09961	9.704000473	10.11100006	10.61150074	10.9746666	10.83025169	8.306201935
